"","GSM711956"
"7902493",4.23216
"7902495",4.819
"7902512",5.85568
"7902518",6.29116
"7902527",3.83173
"7902541",8.79564
"7902553",7.86337
"7902563",2.18278
"7902565",6.34657
"7902592",5.05204
"7902594",6.17716
"7902611",2.69144
"7902615",1.55913
"7902617",3.93475
"7902623",2.11602
"7902634",6.76385
"7902645",2.88392
"7902660",2.78081
"7902685",1.62829
"7902687",7.08701
"7902700",1.92268
"7902702",2.31731
"7902721",2.28727
"7902738",2.73441
"7902754",2.51646
"7902771",7.43896
"7902787",2.51549
"7902789",6.83932
"7902799",4.17654
"7902808",6.09081
"7902810",6.54883
"7902822",7.51751
"7902848",6.06594
"7902850",2.59433
"7902861",4.96335
"7902874",4.01377
"7902883",5.58615
"7902891",5.70313
"7902909",3.04999
"7902911",3.04714
"7902913",3.72906
"7902930",3.62635
"7902934",2.72447
"7902957",3.68172
"7902965",3.29439
"7902977",4.06509
"7902984",2.20192
"7902992",5.2563
"7903008",2.28159
"7903010",7.59935
"7903022",6.31949
"7903024",2.35062
"7903026",1.51762
"7903028",1.81353
"7903030",2.05059
"7903032",6.67328
"7903049",3.17801
"7903079",6.97363
"7903090",1.7307
"7903092",7.08565
"7903109",1.31735
"7903111",1.51329
"7903113",1.97169
"7903115",1.80292
"7903117",2.42611
"7903119",7.84606
"7903144",6.17751
"7903162",4.68447
"7903171",5.84288
"7903181",1.64775
"7903183",8.50342
"7903186",1.86196
"7903188",6.50292
"7903203",5.61136
"7903214",3.94004
"7903227",4.26059
"7903239",5.47892
"7903281",6.84204
"7903292",1.84854
"7903294",7.98129
"7903308",5.88167
"7903321",6.43348
"7903334",5.05464
"7903355",4.48421
"7903358",6.04822
"7903369",7.14014
"7903389",4.92073
"7903391",2.95797
"7903393",3.63607
"7903399",2.9469
"7903401",1.78243
"7903404",5.75968
"7903407",5.78139
"7903414",7.48507
"7903425",6.46577
"7903440",6.46577
"7903455",2.09705
"7903457",3.23709
"7903461",3.16452
"7903474",5.20491
"7903478",3.54104
"7903490",3.66322
"7903507",7.02655
"7903519",6.60644
"7903530",2.59515
"7903541",7.10903
"7903561",2.47305
"7903565",4.75505
"7903582",9.46594
"7903586",6.17813
"7903592",4.42398
"7903619",7.51377
"7903632",4.30456
"7903667",4.06513
"7903676",3.70264
"7903688",4.39786
"7903694",4.15019
"7903703",7.15302
"7903717",5.12379
"7903719",5.23382
"7903742",4.80061
"7903753",5.60289
"7903765",5.55088
"7903777",5.29271
"7903786",5.50611
"7903803",6.70379
"7903827",6.04162
"7903851",2.15947
"7903854",3.3791
"7903867",5.24531
"7903876",2.06197
"7903878",5.76591
"7903884",3.77427
"7903889",2.77672
"7903893",6.94341
"7903906",1.48899
"7903908",6.81773
"7903920",3.50074
"7903935",2.68531
"7903945",3.42178
"7903959",2.81071
"7903970",1.87968
"7903972",6.01221
"7903980",5.36796
"7903988",5.68593
"7904000",4.54364
"7904014",1.57994
"7904016",1.564
"7904018",6.42391
"7904025",4.34768
"7904036",7.06281
"7904048",5.79825
"7904050",5.45836
"7904073",4.28757
"7904082",2.77238
"7904084",3.40558
"7904086",5.81878
"7904106",5.63041
"7904131",3.47187
"7904137",6.54535
"7904158",4.3692
"7904164",1.81655
"7904166",2.18716
"7904168",1.82223
"7904203",1.88639
"7904209",3.05147
"7904211",5.44915
"7904226",5.90896
"7904244",3.09492
"7904252",2.19244
"7904254",9.29457
"7904281",2.11957
"7904287",5.6517
"7904293",7.02133
"7904303",4.0224
"7904314",5.45252
"7904340",7.09283
"7904361",6.96565
"7904364",4.90077
"7904394",2.73368
"7904396",2.85087
"7904408",2.28094
"7904414",2.3802
"7904417",2.00503
"7904421",2.31704
"7904429",2.65965
"7904431",2.69615
"7904433",4.16225
"7904448",3.76953
"7904450",1.53186
"7904452",4.32393
"7904463",6.04069
"7904465",6.40722
"7904469",8.07602
"7904478",3.91691
"7904480",2.66011
"7904482",8.58561
"7904486",10.5668
"7904500",11.0986
"7904506",10.728
"7904562",10.5999
"7904569",9.86877
"7904572",2.63096
"7904574",8.86569
"7904691",1.5094
"7904693",6.10693
"7904695",7.81204
"7904702",7.02151
"7904713",4.35053
"7904715",3.25134
"7904717",3.56847
"7904726",10.9843
"7904737",2.71675
"7904742",6.30923
"7904751",5.62817
"7904755",6.32749
"7904761",3.55502
"7904796",3.69452
"7904812",5.7711
"7904830",5.46448
"7904843",4.53799
"7904853",6.74801
"7904863",4.82048
"7904865",2.79783
"7904867",1.06473
"7904869",4.76349
"7904872",1.76821
"7904874",9.83442
"7904877",2.27688
"7904879",5.50687
"7904881",10.1691
"7904883",5.49767
"7904907",5.34653
"7904921",2.20966
"7904923",2.3261
"7904927",2.25221
"7904930",6.21508
"7904946",1.06473
"7904948",4.76349
"7904951",1.76821
"7904953",1.96393
"7904955",4.54457
"7904959",3.74241
"7904963",2.66011
"7904965",5.04273
"7904967",2.5399
"7904969",6.72103
"7904974",7.56812
"7904976",9.09027
"7904997",5.01017
"7904999",9.17827
"7905016",5.01017
"7905018",3.99698
"7905020",3.43346
"7905025",2.63273
"7905028",5.96162
"7905033",2.35606
"7905035",3.85884
"7905037",3.12935
"7905039",1.77963
"7905043",5.14996
"7905047",5.0566
"7905051",3.34022
"7905054",2.45988
"7905058",3.96025
"7905060",4.9208
"7905067",5.94129
"7905077",3.26875
"7905079",6.69518
"7905085",5.09229
"7905088",7.14894
"7905092",3.30576
"7905099",6.86977
"7905116",4.67518
"7905127",5.25913
"7905129",1.9397
"7905131",3.1227
"7905145",2.15628
"7905147",4.29354
"7905154",3.56573
"7905163",5.68952
"7905171",6.76831
"7905185",6.49216
"7905198",5.02727
"7905220",6.8007
"7905233",4.5226
"7905254",2.39463
"7905256",2.02758
"7905258",5.77296
"7905283",3.98098
"7905299",4.69574
"7905308",3.08852
"7905324",4.59712
"7905329",4.21449
"7905339",5.82139
"7905349",3.62397
"7905355",6.13736
"7905365",7.00693
"7905374",6.43085
"7905382",5.1301
"7905395",7.43648
"7905406",6.31852
"7905428",6.19721
"7905444",6.29204
"7905462",1.99249
"7905464",2.73718
"7905474",2.64126
"7905481",1.9579
"7905483",3.64369
"7905486",2.72201
"7905490",3.16015
"7905492",5.00131
"7905496",2.21983
"7905500",3.55611
"7905503",2.00049
"7905505",3.97608
"7905507",5.88755
"7905510",3.50746
"7905512",3.03894
"7905515",2.7669
"7905517",4.32205
"7905519",4.14236
"7905523",5.64606
"7905525",2.76037
"7905528",4.41416
"7905530",2.14227
"7905533",3.07858
"7905536",4.06627
"7905544",6.29584
"7905548",3.37872
"7905553",4.71278
"7905559",4.0459
"7905563",2.92376
"7905569",1.76363
"7905571",4.31753
"7905576",2.35555
"7905581",3.10336
"7905589",6.20959
"7905598",5.12204
"7905606",3.13169
"7905629",2.30702
"7905631",6.82242
"7905664",5.02113
"7905677",4.4873
"7905691",10.135
"7905698",1.43738
"7905700",7.74813
"7905731",3.87368
"7905733",5.61043
"7905742",1.73985
"7905744",2.15899
"7905746",2.96289
"7905754",5.59432
"7905789",4.58236
"7905801",3.34426
"7905817",3.78342
"7905826",8.0414
"7905831",4.52116
"7905848",3.3408
"7905854",5.01015
"7905862",3.70274
"7905881",5.76896
"7905909",4.14955
"7905918",3.78255
"7905927",2.47806
"7905929",6.35488
"7905938",6.33663
"7905949",2.35439
"7905951",4.05939
"7905968",4.90685
"7905974",4.36066
"7905986",6.09143
"7905999",4.96928
"7906015",3.37319
"7906017",4.44633
"7906021",4.89786
"7906041",7.02402
"7906056",5.48854
"7906061",4.61093
"7906069",3.4117
"7906072",5.18431
"7906079",6.98422
"7906085",6.1767
"7906107",4.73388
"7906128",3.16705
